company,rank,rank_change,revenue,profit,num of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap,description
Walmart,1,0,572754,13673,2300000,Retailing,Bentonville,AR,no,no,no,yes,1,C. Douglas McMillon,https://www.stock.walmart.com,WMT,352037,"Walmart is a multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores. It is one of the world's largest companies by revenue and employs millions of people globally. Walmart is known for its wide range of products at competitive prices, offering everything from groceries and household goods to electronics and clothing. With its online presence and extensive network of physical stores, Walmart serves millions of customers every day, making it a key player in the retail industry."
Amazon,2,0,469822,33364,1608000,Retailing,Seattle,WA,no,no,no,yes,2,Andrew R. Jassy,www.amazon.com,AMZN,1202717,"Amazon is a multinational technology and e-commerce company based in Seattle, Washington. Founded by Jeff Bezos in 1994, Amazon started as an online bookstore and has since expanded to become one of the largest and most diverse tech companies in the world. Amazon's core operations include e-commerce, cloud computing, digital streaming, artificial intelligence, and logistics. The company is best known for its e-commerce platform, where customers can purchase a wide range of products and services. Additionally, Amazon Web Services (AWS) is a leading cloud computing service provider, while Amazon Prime offers digital streaming services, fast shipping, and other membership benefits. Amazon's focus on innovation, customer obsession, and operational efficiency has helped it become one of the most valuable and influential companies globally."
Apple,3,0,365817,94680,154000,Technology,Cupertino,CA,no,no,no,yes,3,Timothy D. Cook,www.apple.com,AAPL,2443962,"Apple Inc. is a multinational technology company renowned for its cutting-edge products and innovation. They design, manufacture, and market a range of consumer electronics, software, and online services. Apple is best known for their iconic products such as the iPhone, iPad, Mac computers, Apple Watch, and AirPods. Their software offerings include the iOS, macOS, watchOS, and tvOS operating systems, as well as various productivity and creativity apps. Apple's services like the App Store, iCloud, Apple Music, and Apple Pay provide seamless integration and enhance the user experience across all devices. With a focus on user-friendly design and technological advancements, Apple continues to be a leader in the tech industry."
CVS Health,4,0,292111,7910,258000,Health Care,Woonsocket,RI,no,no,yes,yes,4,Karen Lynch,https://www.cvshealth.com,CVS,125204,"CVS Health is a leading healthcare company in the United States, with a mission to help people on their path to better health. The company operates a vast network of pharmacies, retail clinics, and online prescription services, providing a wide range of health and wellness products. In addition to its retail presence, CVS Health also offers pharmacy benefit management services to businesses and insurance companies, as well as healthcare services through its MinuteClinic locations. With a focus on making healthcare more accessible and affordable, CVS Health plays a key role in the healthcare industry by providing essential services and products to millions of customers every day."
UnitedHealth Group,5,0,287597,17285,350000,Health Care,Minnetonka,MN,no,no,no,yes,5,Andrew P. Witty,www.unitedhealthgroup.com,UNH,500468,"UnitedHealth Group is a leading diversified healthcare company in the United States, providing a wide range of healthcare products and services. The company operates through two main platforms - UnitedHealthcare, which offers health benefits and insurance services, and Optum, which provides health services and information technology solutions. UnitedHealth Group is focused on improving the healthcare system by enhancing access to quality care, controlling costs, and improving outcomes for its customers. With a strong focus on innovation and technology, the company is dedicated to helping people live healthier lives and making the healthcare system more efficient and effective."
Exxon Mobil,6,4,285640,23040,63000,Energy,Irving,TX,no,no,no,yes,10,Darren W. Woods,www.exxonmobil.com,XOM,371841,"Exxon Mobil is a multinational oil and gas corporation and is one of the largest publicly traded companies in the world. The company is involved in all aspects of the oil and gas industry, including exploration, production, refining, and marketing. Exxon Mobil operates in numerous countries around the globe and is known for its significant presence in the energy sector. The company also engages in the production of petrochemicals, which are used in various industries such as manufacturing, transportation, and construction. Exxon Mobil is committed to developing innovative technologies to meet the world's growing energy needs while also focusing on sustainability and environmental stewardship."
Berkshire Hathaway,7,-1,276094,89795,372000,Financials,Omaha,NE,no,no,no,yes,6,Warren E. Buffett,www.berkshirehathaway.com,BRKA,625468,"Berkshire Hathaway is a multinational conglomerate holding company headquartered in the United States. Led by its chairman and CEO Warren Buffett, Berkshire Hathaway owns a diverse range of businesses across various industries, including insurance, railroads, utilities, energy, manufacturing, retail, and services. The company's primary focus is on long-term investments in quality companies with strong management teams. Berkshire Hathaway is known for its hands-off approach to managing its subsidiaries, allowing them to operate autonomously while benefiting from the financial and managerial support of the parent company. With a reputation for consistent and steady growth, Berkshire Hathaway is considered one of the most successful and respected companies in the world."
Alphabet,8,1,257637,76033,156500,Technology,Mountain View,CA,no,no,no,yes,9,Sundar Pichai,https://www.abc.xyz,GOOGL,1309359,"Alphabet Inc. is a multinational conglomerate that was created through a restructuring of Google in 2015. As the parent company of Google, Alphabet oversees various businesses in sectors such as technology, life sciences, investment capital, and research. Google remains the primary revenue generator for Alphabet, with its search engine, advertising platform, and various software products being key drivers of the company's success. Additionally, Alphabet's ""Other Bets"" segment includes projects such as Waymo (self-driving cars), Verily (life sciences), and Loon (internet balloons). Through its diverse ventures, Alphabet aims to innovate and create cutting-edge solutions that impact the world on a grand scale."
McKesson,9,-2,238228,-4539,67500,Health Care,Irving,TX,no,no,no,no,7,Brian S. Tyler,www.mckesson.com,MCK,47377,"McKesson is a Fortune 100 company and a global leader in healthcare supply chain management solutions, retail pharmacy, healthcare technology, and healthcare information technology. The company is dedicated to delivering pharmaceuticals, medical supplies, and health information technology to healthcare providers, pharmacies, and patients around the world. McKesson's core operations involve distribution of healthcare products, providing technology solutions to improve patient care, and offering consulting services to help healthcare organizations enhance their operational efficiency and effectiveness. With a focus on advancing healthcare and improving outcomes, McKesson plays a critical role in the healthcare industry by enabling better access to medications and technologies for patients and healthcare providers."
AmerisourceBergen,10,-2,213988.8,1539.9,40000,Health Care,Conshohocken,PA,no,no,no,yes,8,Steven H. Collis,www.amerisourcebergen.com,ABC,29972,"AmerisourceBergen is a Fortune 100 company in the healthcare industry. It is a pharmaceutical sourcing and distribution company, serving as an intermediary between healthcare providers and pharmaceutical manufacturers. AmerisourceBergen works to ensure the safe and efficient delivery of pharmaceutical products to healthcare facilities, pharmacies, and ultimately to patients. The company also offers specialized services in areas such as specialty pharmaceutical distribution, packaging solutions, and technology platforms to support healthcare providers in delivering quality care. Overall, AmerisourceBergen plays a vital role in the healthcare ecosystem by facilitating the availability and accessibility of essential medications and healthcare products."
Costco Wholesale,11,1,195929,5007,288000,Retailing,Issaquah,WA,no,no,no,yes,12,W. Craig Jelinek,www.costco.com,COST,230443,"Costco Wholesale is a multinational corporation that operates a chain of membership-only warehouse clubs. The company is known for offering a wide selection of products at discounted prices to its members. Costco operates in various countries around the world and sells a range of products including groceries, electronics, appliances, clothing, and more. In addition to its brick-and-mortar stores, Costco also offers an online shopping platform for its members. The company's core operations focus on providing quality products at competitive prices to its loyal customer base."
Cigna,12,1,174078,5365,72963,Health Care,Bloomfield,CT,no,no,no,yes,13,David Cordani,https://www.cigna.com,CI,88459,"Cigna is a global health services company that offers a wide range of insurance and health-related products to individuals, employers, and government entities. With a focus on improving the health, well-being, and sense of security of its customers, Cigna provides products and services such as medical, dental, behavioral health, pharmacy, vision, and disability insurance. The company also offers health and wellness programs to help individuals manage their health and prevent illnesses. Cigna is known for its commitment to providing quality healthcare solutions and promoting overall wellness for its customers."
AT&T,13,-2,168864,20081,202600,Telecommunications,Dallas,TX,no,no,no,yes,11,John T. Stankey,www.att.com,T,148907,"AT&T is a multinational telecommunications company and one of the largest providers of mobile and fixed telephone services in the United States. The company also offers a wide range of services including internet, television, and digital entertainment. AT&T's core operations consist of providing communication services to individuals, businesses, and government organizations. Additionally, AT&T has a significant presence in the media industry through its ownership of WarnerMedia, which includes brands such as HBO, CNN, and Warner Bros. AT&T continues to innovate and expand its services to meet the ever-changing needs of consumers in the digital age."
Microsoft,14,1,168088,61271,181000,Technology,Redmond,WA,no,no,no,yes,15,Satya Nadella,www.microsoft.com,MSFT,1941033,"Microsoft is a global technology company known for developing, manufacturing, licensing, supporting, and selling a wide range of computer software, consumer electronics, and personal computers. Founded in 1975 by Bill Gates and Paul Allen, Microsoft is best known for its operating system, Windows, as well as its suite of productivity software such as Microsoft Office. The company also offers cloud services through Microsoft Azure, gaming through Xbox, and hardware such as tablets and laptops under the Surface brand. Microsoft's mission is to empower every person and organization on the planet to achieve more through its innovative technology solutions."
Cardinal Health,15,-1,162467,611,46827,Health Care,Dublin,OH,no,no,no,yes,14,Jason Hollar,www.cardinalhealth.com,CAH,15169,"Cardinal Health is a Fortune 100 company that specializes in the distribution of pharmaceuticals and medical products for healthcare facilities worldwide. With headquarters in Ohio, Cardinal Health plays a crucial role in the healthcare supply chain by sourcing, warehousing, and delivering essential medical supplies to hospitals, pharmacies, clinics, and other healthcare providers. In addition to distribution services, Cardinal Health also offers services and solutions in areas such as inventory management, data analytics, and consulting to help healthcare organizations optimize their operations and improve patient care. The company is committed to ensuring the safe and efficient delivery of healthcare products to support the healthcare industry's needs."
Chevron,16,11,162465,15625,42595,Energy,San Ramon,CA,no,no,no,yes,27,Michael K. Wirth,www.chevron.com,CVX,284132,"Chevron Corporation is an American multinational energy corporation operating in more than 180 countries. The company is one of the world's largest oil and gas companies, involved in all aspects of the energy industry, including exploration, production, refining, and marketing of oil and natural gas. Chevron also has interests in renewable energy sources such as geothermal, wind, and solar power. The company's core operations focus on exploring for, producing, and distributing energy to meet global demand while emphasizing safety, environmental stewardship, and corporate social responsibility."
Home Depot,17,1,151157,16433,490600,Retailing,Atlanta,GA,no,no,no,yes,18,Edward P. Decker,www.homedepot.com,HD,308152,"Home Depot is a retail giant that specializes in home improvement products and services. The company is known for its extensive range of products, including tools, building materials, appliances, and garden supplies. Home Depot operates a chain of over 2,000 stores across North America, making it a one-stop shop for DIY enthusiasts, contractors, and homeowners looking to improve their properties. The company also offers in-store workshops, services like tool rental, and online resources to support customers with their home improvement projects. Home Depot's core operations focus on providing quality products, exceptional customer service, and expert advice to help people create the homes of their dreams."
Walgreens Boots Alliance,18,-2,148579,2542,258500,Food & Drug Stores,Deerfield,IL,no,no,yes,yes,16,Roz Brewer,www.walgreensbootsalliance.com,WBA,33360,"Walgreens Boots Alliance is a multinational company that operates as a holding company for Walgreens and Boots pharmacies. The company is one of the largest retail pharmacy chains in the United States and Europe, with a strong presence in the healthcare and retail sectors. Walgreens Boots Alliance provides a wide range of pharmacy services, health and wellness products, and beauty products to customers in its stores and online. Additionally, the company also offers healthcare services, such as vaccinations and prescription refills, to help customers manage their health and well-being. With a focus on providing convenient and accessible healthcare solutions, Walgreens Boots Alliance plays a critical role in supporting the health and wellness of communities around the world."
Marathon Petroleum,19,13,141032,9738,17700,Energy,Findlay,OH,no,no,no,yes,32,Michael J. Hennigan,www.marathonpetroleum.com,MPC,47526,"Marathon Petroleum is a Fortune100 company that operates as one of the largest refining, marketing, and transportation companies in the United States. The company specializes in refining crude oil to produce various petroleum products such as gasoline, diesel, jet fuel, and other products. Marathon Petroleum also owns and operates a widespread network of pipelines, terminals, and retail fuel stations across the country. Additionally, the company is involved in the distribution and marketing of its products to wholesale and retail customers. Overall, Marathon Petroleum plays a significant role in ensuring the supply and distribution of essential energy products to consumers and businesses in the United States."
Elevance Health,20,3,138639,6104,98200,Health Care,Indianapolis,IN,no,no,yes,yes,23,Gail K. Boudreaux,www.elevancehealth.com,ELV,119923,"Elevance Health is a Fortune100 company that specializes in healthcare technology and solutions. The company is dedicated to improving healthcare outcomes through the use of digital tools and innovative approaches. They provide a wide range of services such as telehealth solutions, electronic health records, data analytics, and patient engagement platforms. Elevance Health aims to streamline the healthcare industry by enhancing efficiency, reducing costs, and ultimately, improving patient care."
Kroger,21,-4,137888,1655,420000,Food & Drug Stores,Cincinnati,OH,no,no,no,yes,17,W. Rodney McMullen,www.thekrogerco.com,KR,33846,"Kroger is one of the largest supermarket chains in the United States, with over 2,700 stores operating under various banners across the country. The company's core operations involve retailing a wide range of grocery products, including fresh produce, meat, dairy, and packaged goods. In addition to traditional grocery offerings, Kroger also provides pharmacy services, fuel centers, and operates an online grocery delivery service. Kroger aims to provide customers with convenient shopping options and high-quality products at competitive prices."
Ford Motor,22,-1,136341,17937,183000,Motor Vehicles & Parts,Dearborn,MI,no,no,no,yes,21,James D. Farley Jr.,www.ford.com,F,50609,"Ford Motor Company, commonly referred to as Ford, is a multinational automaker headquartered in Dearborn, Michigan. Founded by Henry Ford in 1903, Ford is known for revolutionizing the automotive industry with the introduction of assembly line production, making cars more affordable and accessible to the general public. 

Ford's core operations include designing, manufacturing, marketing, and servicing a full line of cars, trucks, SUVs, and electric vehicles under the Ford brand. The company also owns the luxury car brand Lincoln, and has recently expanded into electric vehicles with offerings such as the Mustang Mach-E and the all-electric F-150 Lightning.

Ford has a global presence, with manufacturing facilities and sales operations in various countries around the world. The company continues to innovate in areas such as autonomous driving technology, connected vehicles, and sustainability efforts to shape the future of mobility."
Verizon Communications,23,-3,133613,22065,118400,Telecommunications,New York,NY,no,no,no,yes,20,Hans E. Vestberg,www.verizon.com,VZ,211872,"Verizon Communications is a leading American telecommunications company and a member of the Fortune 100 list. The company provides a wide range of services such as wireless communication, internet, and television services to both consumer and business customers. Verizon is known for its reliable network, innovative technology solutions, and commitment to customer service. With a strong presence in the telecommunications industry, Verizon plays a crucial role in connecting people and businesses across the United States and beyond."
JPMorgan Chase,24,-5,127202,48334,271025,Financials,New York,NY,no,no,no,yes,19,James Dimon,www.jpmorganchase.com,JPM,336469,"JPMorgan Chase is a leading global financial services firm and one of the largest banks in the United States. The company offers a range of services including investment banking, asset management, commercial banking, and retail banking. JPMorgan Chase serves millions of customers worldwide and is known for its strong presence in the financial markets. The company is also actively involved in philanthropic initiatives and has a strong commitment to promoting economic development and social impact."
General Motors,25,-3,127004,10019,157000,Motor Vehicles & Parts,Detroit,MI,no,no,yes,yes,22,Mary T. Barra,www.gm.com,GM,50156,"General Motors (GM) is a leading American multinational corporation that designs, manufactures, markets, and distributes vehicles and vehicle parts globally. As one of the largest automakers in the world, GM produces a wide range of vehicles, including cars, trucks, and SUVs, under well-known brands such as Chevrolet, GMC, Buick, and Cadillac. Additionally, GM offers automotive financing services through its subsidiary, GM Financial. With a rich history dating back to 1908, GM has established itself as a key player in the automotive industry, known for innovation, quality, and a commitment to sustainable transportation solutions."
